@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 25\nSize of the tree: 40\n','Number of leaves: 32\nSize of the tree: 51\n','Number of leaves: 30\nSize of the tree: 48\n','Number of leaves: 35\nSize of the tree: 54\n','Number of leaves: 30\nSize of the tree: 50\n','Number of leaves: 28\nSize of the tree: 47\n','Number of leaves: 33\nSize of the tree: 53\n','Number of leaves: 31\nSize of the tree: 49\n','Number of leaves: 29\nSize of the tree: 48\n','Number of leaves: 29\nSize of the tree: 49\n','Number of leaves: 33\nSize of the tree: 55\n','Number of leaves: 30\nSize of the tree: 47\n','Number of leaves: 26\nSize of the tree: 43\n','Number of leaves: 32\nSize of the tree: 54\n','Number of leaves: 31\nSize of the tree: 52\n','Number of leaves: 28\nSize of the tree: 46\n','Number of leaves: 31\nSize of the tree: 50\n','Number of leaves: 29\nSize of the tree: 46\n','Number of leaves: 30\nSize of the tree: 51\n','Number of leaves: 28\nSize of the tree: 44\n','Number of leaves: 27\nSize of the tree: 45\n','Number of leaves: 36\nSize of the tree: 55\n','Number of leaves: 29\nSize of the tree: 45\n','Number of leaves: 26\nSize of the tree: 42\n','Number of leaves: 34\nSize of the tree: 56\n','Number of leaves: 28\nSize of the tree: 43\n','Number of leaves: 36\nSize of the tree: 58\n','Number of leaves: 32\nSize of the tree: 50\n','Number of leaves: 27\nSize of the tree: 44\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

audiology,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,204,22,17,5,0,77.272727,22.727273,0,0.727723,0.020624,0.110411,28.643183,58.743991,73.418809,1085.18688,-1011.768071,3.337219,49.326676,-45.989458,59.682752,2.712852,1627.865494,0,0,0,0,1,22,0,0,0,0,0,?,0.015,0,0.015625,0,4,135406,28208,'Number of leaves: 32\nSize of the tree: 54\n',54,32,32
audiology,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,19,4,0,82.608696,17.391304,0,0.801296,0.018627,0.10599,25.559127,55.634858,82.072693,2155.097642,-2073.024949,3.568378,93.699897,-90.13152,65.322909,2.840126,1791.601489,0,0,0,0,1,23,0,0,0,0,0,?,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 31\nSize of the tree: 52\n',52,31,31
audiology,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,15,8,0,65.217391,34.782609,0,0.595604,0.031004,0.146922,42.476899,76.98968,84.242618,3237.293995,-3153.051377,3.662723,140.751913,-137.08919,51.24394,2.227997,1408.753434,0,0,0,0,1,22,1,1,0,0,0,0.5,0.015,0,0.015625,0,4,134817,28797,'Number of leaves: 28\nSize of the tree: 46\n',46,28,28
audiology,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,18,5,0,78.26087,21.73913,0,0.746137,0.020611,0.116324,28.48028,61.5421,78.690807,2157.996437,-2079.305631,3.421339,93.825932,-90.404593,61.222124,2.661831,1673.133096,0,0,0,0,1,23,0,0,0,0,0,?,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 31\nSize of the tree: 50\n',50,31,31
audiology,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,17,6,0,73.913043,26.086957,0,0.69469,0.026095,0.13384,36.003274,70.687165,81.690807,2164.00805,-2082.317243,3.551774,94.087307,-90.535532,58.198081,2.530351,1595.347323,0,0,0,0,1,23,0,0,0,0,0,?,0.015,0,0.015625,0,4,134817,28797,'Number of leaves: 30\nSize of the tree: 50\n',50,30,30
audiology,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,18,5,0,78.26087,21.73913,0,0.746696,0.020216,0.113038,27.897464,59.715619,80.690807,1085.344144,-1004.653337,3.508296,47.188876,-43.68058,63.094277,2.743229,1727.988444,0,0,0,0,1,23,0,0,0,0,0,?,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 29\nSize of the tree: 48\n',48,29,29
audiology,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,17,6,0,73.913043,26.086957,0,0.689189,0.025316,0.12225,34.936211,64.582236,81.275769,2160.177453,-2078.901684,3.533729,93.920759,-90.38703,58.703928,2.552345,1608.65481,0,0,0,0,1,23,0,0,0,0,0,?,0.015,0,0.015625,0,4,134817,28797,'Number of leaves: 28\nSize of the tree: 47\n',47,28,28
audiology,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,204,22,18,4,0,81.818182,18.181818,0,0.786408,0.019284,0.103358,26.756922,54.934616,75.003772,15.412841,59.590931,3.409262,0.700584,2.708679,61.296224,2.786192,1674.651743,0,0,0,0,1,22,0,0,0,0,0,?,0.016,0,0.015625,0,4,135406,28208,'Number of leaves: 29\nSize of the tree: 46\n',46,29,29
audiology,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,204,22,20,2,0,90.909091,9.090909,0,0.893462,0.013462,0.085058,18.589186,44.963685,76.152368,2150.429688,-2074.27732,3.461471,97.746804,-94.285333,63.225221,2.873874,1729.463728,0,0,0,0,1,22,0,0,0,0,0,?,0.015,0,0.015625,0,4,135406,28208,'Number of leaves: 31\nSize of the tree: 50\n',50,31,31
audiology,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,204,22,15,7,0,68.181818,31.818182,0,0.628019,0.027195,0.146202,37.561606,77.306029,75.152368,3235.150754,-3159.998386,3.416017,147.052307,-143.63629,50.977383,2.317154,1393.174415,0,0,0,0,1,22,0,0,0,0,0,?,0.016,0,0.015625,0,4,135406,28208,'Number of leaves: 29\nSize of the tree: 48\n',48,29,29
audiology,3,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,204,22,18,4,0,81.818182,18.181818,0,0.787952,0.019824,0.111296,27.24901,58.532947,78.566808,2155.602622,-2077.035815,3.571219,97.981937,-94.410719,59.094454,2.686112,1621.113437,0,0,0,0,1,22,0,0,0,0,0,?,0,0,0,0,4,135406,28208,'Number of leaves: 31\nSize of the tree: 49\n',49,31,31
audiology,4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,14,9,0,60.869565,39.130435,0,0.551948,0.032333,0.158883,44.433094,83.542412,81.839403,3241.160116,-3159.320713,3.558235,140.920005,-137.36177,49.799858,2.165211,1365.459615,0,0,0,0,1,23,0,0,0,0,0,?,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 29\nSize of the tree: 46\n',46,29,29
audiology,4,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,18,5,0,78.26087,21.73913,0,0.741573,0.02126,0.11605,29.216492,61.020103,81.839403,2157.071961,-2075.232558,3.558235,93.785737,-90.227503,60.939472,2.649542,1670.896093,0,0,0,0,1,23,0,0,0,0,0,?,0.015,0,0.015625,0,4,134817,28797,'Number of leaves: 30\nSize of the tree: 47\n',47,30,30
audiology,4,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,17,6,0,73.913043,26.086957,0,0.691275,0.023921,0.126418,32.989441,66.734958,81.860732,3232.844886,-3150.984154,3.559162,140.558473,-136.999311,57.027972,2.479477,1563.76378,0,0,0,0,1,23,0,0,0,0,0,?,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 29\nSize of the tree: 48\n',48,29,29
audiology,4,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,16,7,0,69.565217,30.434783,0,0.635747,0.028862,0.141394,39.821411,74.677185,82.275769,3236.130499,-3153.85473,3.577207,140.701326,-137.124119,49.472674,2.150986,1356.928709,0,0,0,0,1,22,1,1,0,0,0,0.5,0.015,0,0.015625,0,4,134817,28797,'Number of leaves: 30\nSize of the tree: 47\n',47,30,30
audiology,4,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,17,6,0,73.913043,26.086957,0,0.691275,0.025282,0.136616,34.87412,72.136056,83.275769,4303.780208,-4220.504439,3.620686,187.120879,-183.500193,50.530826,2.196992,1387.216819,0,0,0,0,1,23,0,0,0,0,0,?,0,0.015,0,0.015625,4,134817,28797,'Number of leaves: 29\nSize of the tree: 49\n',49,29,29
audiology,4,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20100304.0804,203,23,19,4,0,82.608696,17.391304,0,0.796009,0.021014,0.116499,29.082408,61.744028,78.509657,2157.140804,-2078.631146,3.413463,93.788731,-90.375267,60.947061,2.649872,1664.865944,0,0,0,0,1,23,0,0,0,0,0,?,0.016,0,0.015625,0,4,134817,28797,'Number of leaves: 30\nSize of the tree: 50\n',50,30,30
